GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JMusicBot,com.jagrosh.jmusicbot,Listener,181,0,20,0,41,0,19,0,9,0
JMusicBot,com.jagrosh.jmusicbot,JMusicBot,615,0,20,0,66,0,13,0,3,0
JMusicBot,com.jagrosh.jmusicbot,Bot,180,0,16,0,50,0,24,0,16,0
JMusicBot,com.jagrosh.jmusicbot,BotConfig,459,0,28,0,98,0,42,0,28,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,PlayCmd.ResultHandler,561,0,34,0,64,0,27,0,10,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,SearchCmd.ResultHandler,387,0,14,0,41,0,14,0,7,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,NowplayingCmd,63,0,2,0,13,0,4,0,3,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,RemoveCmd,237,0,18,0,44,0,11,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,SCSearchCmd,20,0,0,0,6,0,1,0,1,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,QueueCmd,284,0,14,0,54,0,13,0,6,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,PlayCmd,254,0,18,0,30,0,12,0,3,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,PlayCmd.PlaylistCmd,222,0,10,0,32,0,11,0,6,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,SearchCmd,113,0,2,0,23,0,4,0,3,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,PlaylistsCmd,131,0,8,0,23,0,7,0,3,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,SkipCmd,236,0,14,0,28,0,11,0,4,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,ShuffleCmd,59,0,3,0,16,0,4,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.music,LyricsCmd,205,0,18,0,42,0,12,0,3,0
JMusicBot,com.jagrosh.jmusicbot.settings,Settings,184,0,14,0,58,0,24,0,17,0
JMusicBot,com.jagrosh.jmusicbot.settings,SettingsManager,271,0,28,0,46,0,22,0,8,0
JMusicBot,com.jagrosh.jmusicbot.commands.general,SettingsCmd,206,0,12,0,26,0,9,0,3,0
JMusicBot,com.jagrosh.jmusicbot.entities,Pair,15,0,0,0,6,0,3,0,3,0
JMusicBot,com.jagrosh.jmusicbot.entities,Prompt,166,0,18,0,53,0,17,0,6,0
JMusicBot,com.jagrosh.jmusicbot.entities,Prompt.new Object() {...},26,0,0,0,1,0,1,0,1,0
JMusicBot,com.jagrosh.jmusicbot.entities,Prompt.Level,48,0,0,0,2,0,4,0,4,0
JMusicBot,com.jagrosh.jmusicbot.commands.admin,PrefixCmd,70,0,4,0,16,0,4,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.admin,SettcCmd,138,0,8,0,21,0,6,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.admin,SetdjCmd,138,0,8,0,21,0,6,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.admin,SetvcCmd,138,0,8,0,21,0,6,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.dj,PlaynextCmd.ResultHandler,262,0,16,0,32,0,14,0,6,0
JMusicBot,com.jagrosh.jmusicbot.commands.dj,VolumeCmd,110,0,6,0,21,0,5,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.dj,ForceskipCmd,74,0,2,0,12,0,3,0,2,0
JMusicBot,com.jagrosh.jmusicbot.commands.dj,RepeatCmd,93,0,14,0,20,0,10,0,3,0
JMusicBot,com.jagrosh.jmusicbot.commands.dj,ForceRemoveCmd,225,0,14,0,45,0,12,0,5,0
